FID,lon,lat,Mass,Eruption_Start,Eruption_Duration,Last_Eruption,Elevation,FA,SHF,LAB,Curie,Magnetics,Moho,Volcano_Landform,Volcano_Type,Tectonic_Setting,Crustal_Type,Dominant_Rock
104,-91.55,-0.37,0.128,20090410,19,2024,1476,-12,106,19,9.5,-30,15,4,3,2,2,2
105,-91.55,-0.37,0.0291,20170904,4,2024,1476,-12,106,19,9.5,-30,15,4,3,2,2,2
106,-91.55,-0.37,0.0178,20180616,6,2024,1476,-12,106,19,9.5,-30,15,4,3,2,2,2
107,-24.35,14.95,0.148,19950402,54,2015,2829,19,60,80,13,-8,11,3,4,1,3,7
108,-24.35,14.95,0.0928,20141123,78,2015,2829,19,60,80,13,-8,11,3,4,1,3,7
109,55.708,-21.244,0.0305,19810203,92,2023,2632,81,45,75,26,-50,16,4,3,1,2,2
110,55.708,-21.244,0.0493,19831204,77,2023,2632,81,45,75,26,-50,16,4,3,1,2,2
111,55.708,-21.244,0.00203,19851201,1,2023,2632,81,45,75,26,-50,16,4,3,1,2,2
112,55.708,-21.244,0.0203,19851229,40,2023,2632,81,45,75,26,-50,16,4,3,1,2,2
113,55.708,-21.244,0.00145,19860319,0,2023,2632,81,45,75,26,-50,16,4,3,1,2,2
114,55.708,-21.244,0.0261,19860319,4,2023,2632,81,45,75,26,-50,16,4,3,1,2,2
115,55.708,-21.244,0.0116,19860323,5,2023,2632,81,45,75,26,-50,16,4,3,1,2,2
116,55.708,-21.244,0.000783,19860713,0,2023,2632,81,45,75,26,-50,16,4,3,1,2,2
117,55.708,-21.244,0.000029,19860713,0,2023,2632,81,45,75,26,-50,16,4,3,1,2,2
118,55.708,-21.244,0.000783,19861112,1,2023,2632,81,45,75,26,-50,16,4,3,1,2,2
119,55.708,-21.244,0.000696,19861126,1,2023,2632,81,45,75,26,-50,16,4,3,1,2,2
120,55.708,-21.244,0.0058,19861206,31,2023,2632,81,45,75,26,-50,16,4,3,1,2,2
121,55.708,-21.244,0.029,19870601,35,2023,2632,81,45,75,26,-50,16,4,3,1,2,2
122,55.708,-21.244,0.0029,19870610,19,2023,2632,81,45,75,26,-50,16,4,3,1,2,2
123,55.708,-21.244,0.0029,19870719,1,2023,2632,81,45,75,26,-50,16,4,3,1,2,2
124,55.708,-21.244,0.00464,19871106,2,2023,2632,81,45,75,26,-50,16,4,3,1,2,2
125,55.708,-21.244,0.029,19871130,32,2023,2632,81,45,75,26,-50,16,4,3,1,2,2
126,55.708,-21.244,0.0232,19880207,55,2023,2632,81,45,75,26,-50,16,4,3,1,2,2
127,55.708,-21.244,0.087,19880518,75,2023,2632,81,45,75,26,-50,16,4,3,1,2,2
128,55.708,-21.244,0.0116,19880831,11,2023,2632,81,45,75,26,-50,16,4,3,1,2,2
129,55.708,-21.244,0.0116,19881214,15,2023,2632,81,45,75,26,-50,16,4,3,1,2,2
130,55.708,-21.244,0.00281,19900118,1,2023,2632,81,45,75,26,-50,16,4,3,1,2,2
131,55.708,-21.244,0.0232,19900418,20,2023,2632,81,45,75,26,-50,16,4,3,1,2,2
132,55.708,-21.244,0.0145,19910718,2,2023,2632,81,45,75,26,-50,16,4,3,1,2,2
133,55.708,-21.244,0.016,19920827,27,2023,2632,81,45,75,26,-50,16,4,3,1,2,2
134,55.708,-21.244,0.174,19980309,196,2023,2632,81,45,75,26,-50,16,4,3,1,2,2
135,55.708,-21.244,0.00261,19980808,38,2023,2632,81,45,75,26,-50,16,4,3,1,2,2
136,55.708,-21.244,0.00218,19980311,21,2023,2632,81,45,75,26,-50,16,4,3,1,2,2
137,55.708,-21.244,0.00377,19990719,12,2023,2632,81,45,75,26,-50,16,4,3,1,2,2
138,55.708,-21.244,0.00406,19990928,25,2023,2632,81,45,75,26,-50,16,4,3,1,2,2
139,55.708,-21.244,0.0238,20000213,20,2023,2632,81,45,75,26,-50,16,4,3,1,2,2
140,55.708,-21.244,0.029,20000623,37,2023,2632,81,45,75,26,-50,16,4,3,1,2,2
141,55.708,-21.244,0.0261,20001012,33,2023,2632,81,45,75,26,-50,16,4,3,1,2,2
142,55.708,-21.244,0.0139,20010327,8,2023,2632,81,45,75,26,-50,16,4,3,1,2,2
143,55.708,-21.244,0.0276,20010611,26,2023,2632,81,45,75,26,-50,16,4,3,1,2,2
144,55.708,-21.244,0.0377,20020105,11,2023,2632,81,45,75,26,-50,16,4,3,1,2,2
145,55.708,-21.244,0.0232,20021116,20,2023,2632,81,45,75,26,-50,16,4,3,1,2,2
146,55.708,-21.244,0.00626,20030530,38,2023,2632,81,45,75,26,-50,16,4,3,1,2,2
147,55.708,-21.244,0.018,20030822,5,2023,2632,81,45,75,26,-50,16,4,3,1,2,2
148,55.708,-21.244,0.0029,20030930,1,2023,2632,81,45,75,26,-50,16,4,3,1,2,2
149,55.708,-21.244,0.00348,20031207,18,2023,2632,81,45,75,26,-50,16,4,3,1,2,2
150,55.708,-21.244,0.00551,20040108,1,2023,2632,81,45,75,26,-50,16,4,3,1,2,2
151,55.708,-21.244,0.049,20040502,16,2023,2632,81,45,75,26,-50,16,4,3,1,2,2
152,55.708,-21.244,0.058,20040812,62,2023,2632,81,45,75,26,-50,16,4,3,1,2,2
153,55.708,-21.244,0.0551,20050217,9,2023,2632,81,45,75,26,-50,16,4,3,1,2,2
154,55.708,-21.244,0.0058,20051004,13,2023,2632,81,45,75,26,-50,16,4,3,1,2,2
155,55.708,-21.244,0.0029,20051129,0,2023,2632,81,45,75,26,-50,16,4,3,1,2,2
156,55.708,-21.244,0.058,20051226,23,2023,2632,81,45,75,26,-50,16,4,3,1,2,2
157,55.708,-21.244,0.0058,20060720,26,2023,2632,81,45,75,26,-50,16,4,3,1,2,2
158,55.708,-21.244,0.058,20060830,124,2023,2632,81,45,75,26,-50,16,4,3,1,2,2
159,55.708,-21.244,0.0029,20070218,1,2023,2632,81,45,75,26,-50,16,4,3,1,2,2
160,55.708,-21.244,0.609,20070330,30,2023,2632,81,45,75,26,-50,16,4,3,1,2,2
161,55.708,-21.244,0.0029,20080921,11,2023,2632,81,45,75,26,-50,16,4,3,1,2,2
162,55.708,-21.244,0.00029,20081127,1,2023,2632,81,45,75,26,-50,16,4,3,1,2,2
163,55.708,-21.244,0.00435,20081214,52,2023,2632,81,45,75,26,-50,16,4,3,1,2,2
164,55.708,-21.244,0.000406,20091105,0,2023,2632,81,45,75,26,-50,16,4,3,1,2,2
165,55.708,-21.244,0.000464,20091214,1,2023,2632,81,45,75,26,-50,16,4,3,1,2,2
166,55.708,-21.244,0.00348,20100102,10,2023,2632,81,45,75,26,-50,16,4,3,1,2,2
167,55.708,-21.244,0.00783,20101014,16,2023,2632,81,45,75,26,-50,16,4,3,1,2,2
168,55.708,-21.244,0.00154,20101209,1,2023,2632,81,45,75,26,-50,16,4,3,1,2,2
169,55.708,-21.244,0.00116,20140620,1,2023,2632,81,45,75,26,-50,16,4,3,1,2,2
170,55.708,-21.244,0.00435,20150204,12,2023,2632,81,45,75,26,-50,16,4,3,1,2,2
171,55.708,-21.244,0.011,20150517,13,2023,2632,81,45,75,26,-50,16,4,3,1,2,2
172,55.708,-21.244,0.00928,20150731,2,2023,2632,81,45,75,26,-50,16,4,3,1,2,2
173,55.708,-21.244,0.103,20150824,55,2023,2632,81,45,75,26,-50,16,4,3,1,2,2
174,55.708,-21.244,0.00145,20160526,1,2023,2632,81,45,75,26,-50,16,4,3,1,2,2
175,55.708,-21.244,0.0172,20160911,7,2023,2632,81,45,75,26,-50,16,4,3,1,2,2
176,55.708,-21.244,0.0183,20170131,27,2023,2632,81,45,75,26,-50,16,4,3,1,2,2
177,55.708,-21.244,0.0154,20170713,45,2023,2632,81,45,75,26,-50,16,4,3,1,2,2
178,-77.37,1.22,0.0004,19890504,5,2014,4276,170,172,89,27,-28,45,3,2,3,1,1
179,-77.37,1.22,0.00104,19911009,38,2014,4276,170,172,89,27,-28,45,3,2,3,1,1
180,-17.316,64.416,0.026,19830528,6,2011,1719,39,115,40,16,107,26,1,1,2,2,2
181,-17.316,64.416,1.08,19960930,38,2011,1719,39,115,40,16,107,26,1,1,2,2,2
182,-17.316,64.416,0.056,20041101,1,2011,1719,39,115,40,16,107,26,1,1,2,2,2
183,-17.316,64.416,0.189,19981218,10,2011,1719,39,115,40,16,107,26,1,1,2,2,2
184,-17.316,64.416,0.729,20110521,1,2011,1719,39,115,40,16,107,26,1,1,2,2,2
185,-19.666,63.983,0.268,19800817,1,2000,1490,44,93,39,13,-207,25,3,4,2,2,1
186,-19.666,63.983,0.102,19810409,7,2000,1490,44,93,39,13,-207,25,3,4,2,2,1
187,-19.666,63.983,0.294,19910117,2,2000,1490,44,93,39,13,-207,25,3,4,2,2,1
188,-19.666,63.983,0.229,19910118,51,2000,1490,44,93,39,13,-207,25,3,4,2,2,1
189,-19.666,63.983,0.207,20000227,11,2000,1490,44,93,39,13,-207,25,3,4,2,2,1
190,-19.666,63.983,0.0663,19800817,0,2000,1490,44,93,39,13,-207,25,3,4,2,2,1
191,-19.666,63.983,0.0255,19910117,0,2000,1490,44,93,39,13,-207,25,3,4,2,2,1
192,-19.666,63.983,0.0102,20000226,0,2000,1490,44,93,39,13,-207,25,3,4,2,2,1
193,-76.03,2.93,0.135,20081026,95,2012,5364,231,102,134,39,23,46,3,4,3,1,1
194,127.63,1.488,0.0418,19990101,5053,2024,1325,56,56,45,25,7,27,3,4,3,2,1
