FID,lon,lat,Eruption_Start,Eruption_Duration,Last_Eruption,Elevation,FA,SHF,LAB,Curie,Magnetics,Moho,Volcano_Landform,Volcano_Type,Tectonic_Setting,Crustal_Type,Dominant_Rock
91,96.289,4.903,20260101,225,2000,2785,105,87,56,27,-6,32,3,2,3,1,1
92,-70.568,-35.223,20260101,225,2019,3977,157,172,85,34,-26,46,3,4,3,1,1
93,-84.233,10.2,20260101,225,2024,2697,85,9,40,20,26,36,3,4,3,1,1
94,-76.4,2.32,20260101,225,2023,4650,82,111,127,36,-12,45,3,4,3,1,1
95,-177.92,-29.27,20260101,225,2006,516,103,80,46,23,22,11,3,4,3,2,1
96,-85.324,10.83,20260101,225,2024,1916,36,23,40,20,9,39,3,2,3,1,1
97,116.47,-8.42,20260101,225,2016,3726,27,52,61,37,129,32,3,4,3,1,1
98,148.115,-5.519,20260101,225,2007,75,32,58,34,17,17,28,3,4,3,1,2
99,125.37,2.3,20260101,225,2024,725,74,60,33,16.5,35,25,3,4,3,2,1
100,-87.004,12.702,20260101,225,2024,1745,12,81,38,26,78,34,3,4,3,1,2
101,-87.004,12.702,20260101,225,2024,1745,12,81,38,26,78,34,3,4,3,1,2
102,-88.269,13.434,20260101,225,2023,2130,25,163,33,16.5,-52,33,3,4,3,1,1
103,-78.341,-2.005,20260101,225,2024,5286,5,64,79,24,-9,53,3,4,3,1,1
104,119.07,-8.2,20260101,225,2022,1912,-44,65,54,39,127,27,3,2,3,1,4
105,-89.63,13.853,20260101,225,2005,2381,18,259,37,18.5,26,37,3,4,3,1,1
106,-26.483,-57.8,20260101,225,2024,843,42,104,64,28,16,13,3,4,3,2,2
107,-172.51,52.315,20260101,225,1993,1054,197,105,54,27,-64,24,3,4,3,3,1
108,179.58,51.93,20260101,225,2023,1221,56,104,55,27.5,-258,21,3,4,3,3,2
109,141.38,42.688,20260101,225,1981,1320,58,115,49,28,-116,36,1,1,3,1,1
110,109.208,-7.242,20260101,225,2014,3428,95,91,75,27,96,34,3,4,3,1,2
111,99.539,0.686,20260101,225,1986,2145,43,123,54,26,21,36,3,4,3,1,1
112,-61.18,13.33,20260101,225,2021,1220,103,86,72,5,-75,27,3,4,3,2,1
113,129.714,29.638,20260101,225,2024,796,27,16,42,20,-33,23,3,4,3,2,1
114,120.9975,14.0106,20260101,225,2024,311,18,64,42,19,49,34,1,1,3,1,1
115,-92.109,15.132,20260101,225,1986,4064,18,218,45,35,16,31,3,4,3,1,1
116,100.681,-0.979,20260101,225,2007,2575,54,92,56,29,18,34,3,4,3,1,1
117,107.6,-6.77,20260101,225,2019,2084,127,86,69,24,76,33,3,4,3,1,1
118,123.585,-7.791,20260101,225,2015,633,-13,102,50,25,34,21,3,4,3,2,4
119,-86.84,12.606,20260101,225,2022,1036,16,75,39,26,69,35,3,4,3,1,2
120,112.95,-7.942,20260101,225,2023,2329,180,30,75,34,16,31,3,4,3,1,5
121,-27.32,38.73,20260101,225,2000,1023,41,109,36,14,18,10,3,4,2,2,2
122,-175.07,-19.75,20260101,225,2024,515,60,37,43,32,-2,12,1,1,3,2,1
123,142.686,43.418,20260101,225,2004,2077,57,136,51,22,-44,38,3,4,3,1,1
124,175.632,-39.157,20260101,225,2012,1978,26,79,61,32,16,35,3,4,3,1,1
125,140.839,42.544,20260101,225,2001,733,60,149,47,30,-50,34,3,4,3,1,2
126,-69.797,-33.425,20260101,225,1987,5660,116,83,90,39,16,49,3,4,3,1,1
127,-83.767,10.025,20260101,225,2022,3340,71,8,39,19.5,5,34,3,4,3,1,1
128,-70.8972,-16.345,20260101,225,2024,5608,90,161,67,39,53,58,3,4,3,1,1
129,130.299,32.761,20260101,225,1996,1483,66,0,41,18,-32,34,3,2,3,1,1
130,-61.305,15.307,20260101,225,1997,1224,66,61,78,5,-6,26,3,4,3,2,1
131,177.18,-37.52,20260101,225,2024,294,26,84,50,27,-71,34,3,4,3,1,1
132,137.587,36.227,20260101,225,1995,2455,77,192,45,21,-29,37,3,4,3,1,1
133,169.447,-19.532,20260101,225,2024,361,53,137,30,10,246,12,3,4,3,3,1
134,-27.57,-56.3,20260101,225,2016,551,78,135,69,27,-5,13,3,4,3,2,2
135,42.18,15.05,20260101,225,2013,191,-1,174,23,11.5,-24,23,4,3,2,2,2
